Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
Harold Swem,Village 4,4864,3,No,Connection cost is very high,5,4,15,10,0,20,40,0,0,0,LPG,No,130.52378,20,Fluctuations,"['February', 'October', 'June']","['Could not charge a phone', 'Could not cook']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1155,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,3,5,1
David Jordan,Village 2,13590,8,No,Can't afford electricity bill,3,9,10,0,20,20,20,90,110,390,LPG,No,228.77288,4,Electrical applicances getting affected,"['April', 'February', 'June']","['Could not cook', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,No one (for free),Cash,Yes,Yes,Already using,6-12 months,651,664,Already using,Yes,Appliances,698,Solar,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,3,3,0
Diane Morris,Village 4,4712,2,Yes,Already Connected,5,3,15,10,0,20,0,0,0,0,Kerosene,Yes,123.68906,20,Electrical applicances getting affected,"['November', 'September', 'August']","['Could not charge a phone', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1452,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,5,5,1
Brandon Showe,Village 3,4553,3,Yes,Already Connected,4,4,15,10,0,20,40,0,0,0,Kerosene,Yes,130.52378,16,Fluctuations,"['August', 'June', 'February']","['Could not operate a household business', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Online,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1830,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,5,5,1
Kelly Berkley,Village 3,5884,6,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,16,No Problem,"['September', 'June', 'December']","['Children could not study', 'Could not cook']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,Landlord,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1626,Grid,Yes,NA,NA,4,42,10,Initial investment is high,515,15.45,2,2,3,5,2,5,3,2
Sue Boudreau,Village 4,10250,7,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,20,Electrical applicances getting affected,"['May', 'October', 'August']","['Could not charge a phone', 'Could not operate a household business']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,Pre-paid meter card seller,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,986,Grid,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,5,3,2
Mindy Rodrequez,Village 1,12903,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,6-12 months,2020,718,Already using,Yes,NA,NA,Shop,No,Kerosene,Rarely available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Robert Valadez,Village 2,14984,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,LPG,Yes,228.77288,4,Electrical applicances getting affected,"['December', 'March', 'May']","['Could not charge a phone', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Online,Yes,Yes,Already using,1-3 months,2231,1367,Already using,Yes,Appliances,1416,Solar,No,Diesel,Rarely available,4,42,10,No subsidies are provided,660,19.8,2,0,4,3,5,5,3,0
George Morgan,Village 4,8383,5,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,20,Fluctuations,"['February', 'June', 'September']","['Could not operate a household business', 'Could not cook']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1516,Shop,No,Diesel,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,3,2
Marvin Woods,Village 2,13446,7,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,No Problem,"['January', 'June', 'November']","['Machines/appliances were damaged', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Pay at the utility office,Yes,Yes,Already using,More than a year,2306,612,Already using,Yes,Lighting,1990,Solar,No,Kerosene,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,5,5,5,3,0
Susie Pratka,Village 3,5419,4,No,Connection cost is very high,4,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,16,Electrical applicances getting affected,"['May', 'September', 'December']","['Machines/appliances were damaged', 'Children could not study']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1561,Grid,Yes,NA,NA,4,42,10,Initial investment is high,275,8.25,2,2,3,3,2,3,5,2
Walter Forbis,Village 4,7803,4,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,20,Fluctuations,"['May', 'December', 'October']","['Machines/appliances were damaged', 'Could not cook']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,429,Grid,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,5,2
John Puma,Village 3,6327,5,No,Can't afford electricity bill,4,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,16,No Problem,"['December', 'November', 'February']","['Could not operate a household business', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,605,Grid,No,Biogas,Rarely available,4,42,10,No subsidies are provided,275,8.25,2,2,3,5,5,3,5,2
Denise Kies,Village 2,5471,4,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,LPG,Yes,139.92152,4,Electrical applicances getting affected,"['March', 'August', 'October']","['Could not charge a phone', 'Could not cook']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,Community/village/municipality,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,993,Grid,Yes,NA,NA,4,42,10,No subsidies are provided,140,4.2,1,0,4,3,2,5,3,0
Kathleen Carr,Village 2,7590,4,No,Can't afford electricity bill,3,5,10,0,10,10,20,90,0,0,Kerosene,No,139.92152,4,No Problem,"['December', 'October', 'February']","['Could not cook', 'Could not operate a household business']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,905,Grid,No,Diesel,Rarely available,4,42,10,No subsidies are provided,140,4.2,1,0,4,5,5,3,5,0
Alicia Fulop,Village 3,4281,3,Yes,Already Connected,4,4,15,10,0,20,40,0,0,0,Kerosene,Yes,130.52378,16,Fluctuations,"['October', 'September', 'April']","['Could not charge a phone', 'Could not operate a household business']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1174,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,5,3,1
Tiffany Gallardo,Village 2,11290,7,No,Connection cost is very high,3,7,10,0,10,20,20,90,110,0,LPG,No,160.42568,4,No Problem,"['December', 'April', 'September']","['Machines/appliances were damaged', 'Children could not study']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,No one (for free),Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1365,Grid,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,260,7.8,2,0,4,5,5,3,5,0
Nicole Card,Village 2,13086,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,LPG,Yes,228.77288,4,No Problem,"['December', 'September', 'February']","['Could not operate a household business', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Landlord,Pay at the utility office,Yes,Yes,Already using,1-3 months,2210,1155,Already using,Yes,Appliances,594,Solar,No,Biogas,Rarely available,4,42,10,No subsidies are provided,660,19.8,2,0,4,5,5,5,3,0
Karl Toborg,Village 1,7213,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,Kerosene,Yes,322.75028,8,No Problem,"['February', 'June', 'April']","['Children could not study', 'Could not operate a household business']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Kerosene,Always available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,5,5,5,5,3
Randy Hill,Village 4,3365,3,No,Can't afford electricity bill,5,4,15,10,0,20,40,0,0,0,LPG,No,130.52378,20,No Problem,"['October', 'February', 'December']","['Machines/appliances were damaged', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,358,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,3,5,1
Edward Herrera,Village 2,4416,3,Yes,Already Connected,3,4,10,5,0,10,20,0,0,0,LPG,Yes,123.68906,4,Long Power Cuts,"['May', 'June', 'March']","['Children could not study', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Landlord,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,976,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,0,4,3,2,5,5,0
David Weber,Village 3,4339,3,No,Can't afford electricity bill,4,4,15,10,0,20,40,0,0,0,LPG,No,130.52378,16,No Problem,"['December', 'January', 'June']","['Machines/appliances were damaged', 'Could not cook']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,710,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,3,5,1
Richard Sim,Village 1,5155,6,No,Can't afford electricity bill,22,7,30,0,20,100,80,540,440,0,Kerosene,No,322.75028,8,Electrical applicances getting affected,"['February', 'January', 'December']","['Machines/appliances were damaged', 'Could not charge a phone']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,No one (for free),Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Kerosene,Always available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,3,2,3,5,2
Abbey Schlemmer,Village 4,4066,2,No,Connection cost is very high,5,3,15,10,0,20,0,0,0,0,Kerosene,No,123.68906,20,No Problem,"['June', 'November', 'August']","['Could not operate a household business', 'Children could not study']","['Maintenance/service problems', 'Unexpectedly high bills']",Weekly,No one (for free),Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1787,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,5,2,3,3,1
Robert Hawkins,Village 3,12467,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,Kerosene,Yes,296.26574,16,Electrical applicances getting affected,"['April', 'June', 'October']","['Could not operate a household business', 'Could not cook']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,Community/village/municipality,Online,Yes,Yes,Already using,1-3 months,540,818,Already using,Yes,Appliances,1816,Solar,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,1055,31.65,3,2,3,3,5,5,3,2
Opal Toothaker,Village 4,4599,3,Yes,Already Connected,5,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,20,No Problem,"['April', 'June', 'October']","['Machines/appliances were damaged', 'Could not charge a phone']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,Community/village/municipality,Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1227,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,5,5,1
Eleanor Hilton,Village 1,9139,6,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,Fluctuations,"['January', 'June', 'February']","['Could not operate a household business', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Kerosene,Rarely available,4,42,10,Initial investment is high,1210,36.3,3,4,4,3,5,5,3,3
Millie Peters,Village 4,10326,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,489,Shop,No,Diesel,Always available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Steven Karnes,Village 2,10078,8,No,Connection cost is very high,3,9,10,0,20,20,20,90,110,390,Kerosene,No,228.77288,4,Long Power Cuts,"['October', 'February', 'March']","['Could not operate a household business', 'Could not cook']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,No one (for free),Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1829,Shop,No,Diesel,Always available,4,42,10,Initial investment is high,660,19.8,2,0,4,3,5,3,3,0
Steve Allbright,Village 4,11030,7,No,Connection cost is very high,5,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,20,Long Power Cuts,"['October', 'February', 'April']","['Could not cook', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,453,Grid,No,Biogas,Rarely available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,3,5,2
Cory Coleman,Village 3,12054,7,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,16,Long Power Cuts,"['February', 'October', 'April']","['Could not charge a phone', 'Could not cook']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Online,Yes,Yes,Already using,3-6 months,1759,1458,Already using,Yes,Appliances,1353,Solar,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,5,3,2
Paul Jungling,Village 3,8286,6,Yes,Already Connected,4,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,16,Long Power Cuts,"['February', 'August', 'April']","['Machines/appliances were damaged', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,886,Shop,No,Biogas,Always available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,5,3,2
Deb Anderson,Village 3,7952,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,No Problem,"['August', 'March', 'September']","['Could not operate a household business', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,Pre-paid meter card seller,Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1013,Shop,No,Diesel,Always available,4,42,10,Initial investment is high,275,8.25,2,2,3,5,5,5,3,2
Toby Walker,Village 3,4355,2,Yes,Already Connected,4,3,15,10,0,20,0,0,0,0,Kerosene,Yes,123.68906,16,Electrical applicances getting affected,"['January', 'August', 'March']","['Could not operate a household business', 'Children could not study']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1927,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,5,3,1
Karl Mccann,Village 1,4424,2,Yes,Already Connected,22,3,30,10,0,50,0,0,0,0,Kerosene,Yes,131.37812,8,Fluctuations,"['January', 'November', 'May']","['Children could not study', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Landlord,Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Diesel,Always available,4,42,10,Low income,90,2.7,1,4,4,3,2,5,5,1
Charlie Yutzy,Village 2,3557,3,No,Connection cost is very high,3,4,10,5,0,10,20,0,0,0,LPG,No,123.68906,4,Long Power Cuts,"['May', 'March', 'November']","['Machines/appliances were damaged', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1160,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,0,4,3,2,3,5,0
Jessie Brookens,Village 4,6629,5,No,Can't afford electricity bill,5,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,20,Electrical applicances getting affected,"['November', 'January', 'March']","['Machines/appliances were damaged', 'Could not cook']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1971,Grid,No,Biogas,Sometimes available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,3,5,2
Chris Lejeune,Village 3,7076,4,No,Can't afford electricity bill,4,5,15,0,20,20,40,180,0,0,Kerosene,No,162.9887,16,Long Power Cuts,"['February', 'October', 'March']","['Could not operate a household business', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,No one (for free),Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1892,Grid,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,5,2
Preston Ortiz,Village 4,6137,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,20,Fluctuations,"['November', 'October', 'May']","['Children could not study', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1381,Shop,No,Biogas,Rarely available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,2,5,3,2
Abraham Reilly,Village 3,14817,7,No,Connection cost is very high,4,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,16,Electrical applicances getting affected,"['October', 'November', 'February']","['Children could not study', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Pay at the utility office,No,Yes,Already using,6-12 months,1146,1153,Already using,Yes,Appliances,437,Solar,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,3,5,2
Joe Chappell,Village 4,10216,8,Yes,Already Connected,5,9,15,0,40,40,40,180,220,650,LPG,Yes,318.47858,20,Fluctuations,"['January', 'December', 'November']","['Could not operate a household business', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,Landlord,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,289,Grid,No,Biogas,Sometimes available,4,42,10,Initial investment is high,1185,35.55,3,2,3,3,5,5,3,2
Lloyd Rubinson,Village 3,7950,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,No Problem,"['June', 'November', 'September']","['Children could not study', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,352,Grid,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,275,8.25,2,2,3,5,5,5,5,2
